setosa,versicolor,virginica
0.2,1.4,2.5
0.2,1.5,1.9
0.2,1.5,2.1
0.2,1.3,1.8
0.2,1.5,2.2
0.4,1.3,2.1
0.3,1.6,1.7
0.2,1,1.8
0.2,1.3,1.8
0.1,1.4,2.5
0.2,1,2
0.2,1.5,1.9
0.1,1,2.1
0.1,1.4,2
0.2,1.3,2.4
0.4,1.4,2.3
0.4,1.5,1.8
0.3,1,2.2
0.3,1.5,2.3
0.3,1.1,1.5
0.2,1.8,2.3
0.4,1.3,2
0.2,1.5,2
0.5,1.2,1.8
0.2,1.3,2.1
0.2,1.4,1.8
0.4,1.4,1.8
0.2,1.7,1.8
0.2,1.5,2.1
0.2,1,1.6
0.2,1.1,1.9
0.4,1,2
0.1,1.2,2.2
0.2,1.6,1.5
0.2,1.5,1.4
0.2,1.6,2.3
0.2,1.5,2.4
0.1,1.3,1.8
0.2,1.3,1.8
0.2,1.3,2.1
0.3,1.2,2.4
0.3,1.4,2.3
0.2,1.2,1.9
0.6,1,2.3
0.4,1.3,2.5
0.3,1.2,2.3
0.2,1.3,1.9
0.2,1.3,2
0.2,1.1,2.3
0.2,1.3,1.8
