setosa,versicolor,virginica
3.5,3.2,3.3
3,3.2,2.7
3.2,3.1,3
3.1,2.3,2.9
3.6,2.8,3
3.9,2.8,3
3.4,3.3,2.5
3.4,2.4,2.9
2.9,2.9,2.5
3.1,2.7,3.6
3.7,2,3.2
3.4,3,2.7
3,2.2,3
3,2.9,2.5
4,2.9,2.8
4.4,3.1,3.2
3.9,3,3
3.5,2.7,3.8
3.8,2.2,2.6
3.8,2.5,2.2
3.4,3.2,3.2
3.7,2.8,2.8
3.6,2.5,2.8
3.3,2.8,2.7
3.4,2.9,3.3
3,3,3.2
3.4,2.8,2.8
3.5,3,3
3.4,2.9,2.8
3.2,2.6,3
3.1,2.4,2.8
3.4,2.4,3.8
4.1,2.7,2.8
4.2,2.7,2.8
3.1,3,2.6
3.2,3.4,3
3.5,3.1,3.4
3.6,2.3,3.1
3,3,3
3.4,2.5,3.1
3.5,2.6,3.1
2.3,3,3.1
3.2,2.6,2.7
3.5,2.3,3.2
3.8,2.7,3.3
3,3,3
3.8,2.9,2.5
3.2,2.9,3
3.7,2.5,3.4
3.3,2.8,3
