setosa,versicolor,virginica
1.4,4.7,6
1.4,4.5,5.1
1.3,4.9,5.9
1.5,4,5.6
1.4,4.6,5.8
1.7,4.5,6.6
1.4,4.7,4.5
1.5,3.3,6.3
1.4,4.6,5.8
1.5,3.9,6.1
1.5,3.5,5.1
1.6,4.2,5.3
1.4,4,5.5
1.1,4.7,5
1.2,3.6,5.1
1.5,4.4,5.3
1.3,4.5,5.5
1.4,4.1,6.7
1.7,4.5,6.9
1.5,3.9,5
1.7,4.8,5.7
1.5,4,4.9
1,4.9,6.7
1.7,4.7,4.9
1.9,4.3,5.7
1.6,4.4,6
1.6,4.8,4.8
1.5,5,4.9
1.4,4.5,5.6
1.6,3.5,5.8
1.6,3.8,6.1
1.5,3.7,6.4
1.5,3.9,5.6
1.4,5.1,5.1
1.5,4.5,5.6
1.2,4.5,6.1
1.3,4.7,5.6
1.4,4.4,5.5
1.3,4.1,4.8
1.5,4,5.4
1.3,4.4,5.6
1.3,4.6,5.1
1.3,4,5.1
1.6,3.3,5.9
1.9,4.2,5.7
1.4,4.2,5.2
1.6,4.2,5
1.4,4.3,5.2
1.5,3,5.4
1.4,4.1,5.1
