setosa,versicolor,virginica
5.1,7,6.3
4.9,6.4,5.8
4.7,6.9,7.1
4.6,5.5,6.3
5,6.5,6.5
5.4,5.7,7.6
4.6,6.3,4.9
5,4.9,7.3
4.4,6.6,6.7
4.9,5.2,7.2
5.4,5,6.5
4.8,5.9,6.4
4.8,6,6.8
4.3,6.1,5.7
5.8,5.6,5.8
5.7,6.7,6.4
5.4,5.6,6.5
5.1,5.8,7.7
5.7,6.2,7.7
5.1,5.6,6
5.4,5.9,6.9
5.1,6.1,5.6
4.6,6.3,7.7
5.1,6.1,6.3
4.8,6.4,6.7
5,6.6,7.2
5,6.8,6.2
5.2,6.7,6.1
5.2,6,6.4
4.7,5.7,7.2
4.8,5.5,7.4
5.4,5.5,7.9
5.2,5.8,6.4
5.5,6,6.3
4.9,5.4,6.1
5,6,7.7
5.5,6.7,6.3
4.9,6.3,6.4
4.4,5.6,6
5.1,5.5,6.9
5,5.5,6.7
4.5,6.1,6.9
4.4,5.8,5.8
5,5,6.8
5.1,5.6,6.7
4.8,5.7,6.7
5.1,5.7,6.3
4.6,6.2,6.5
5.3,5.1,6.2
5,5.7,5.9
